epoch,lr,tr_loss,va_loss,tr_dice,tr_iou,tr_recall,tr_precision,tr_accuracy,tr_mcc,va_dice,va_iou,va_recall,va_precision,va_accuracy,va_mcc
39,8.102169432197842e-05,0.29467,0.33739,0.7581,0.6678,0.8718,0.7435,0.9617,0.6627,0.7212,0.6258,0.8272,0.7372,0.9494,0.623
40,7.993902602547113e-05,0.29272,0.32249,0.7624,0.6722,0.8735,0.7469,0.9621,0.6644,0.7458,0.6524,0.8414,0.7564,0.9529,0.6381
41,7.883401610574336e-05,0.29167,0.35087,0.7645,0.6748,0.8747,0.7485,0.9627,0.6658,0.7278,0.6301,0.8031,0.7661,0.9466,0.6135
42,7.770748916260875e-05,0.29139,0.32561,0.7667,0.6767,0.8751,0.7511,0.9627,0.6666,0.7425,0.6489,0.8532,0.742,0.949,0.6326
43,7.656028585269018e-05,0.28979,0.33857,0.7732,0.6839,0.8752,0.7572,0.9634,0.6676,0.7198,0.6236,0.8562,0.7099,0.9454,0.6163
44,7.53932622620903e-05,0.28742,0.3219,0.7785,0.6894,0.8784,0.7618,0.9637,0.671,0.7792,0.6873,0.8457,0.788,0.9523,0.6398
45,7.420728926754803e-05,0.28764,0.32392,0.7822,0.6931,0.8775,0.7661,0.9638,0.6703,0.751,0.6581,0.8376,0.766,0.9512,0.6375
46,7.300325188655761e-05,0.2862,0.33966,0.7764,0.6882,0.878,0.7599,0.9644,0.6718,0.7369,0.6429,0.8267,0.7547,0.9469,0.6211
47,7.178204861693547e-05,0.2851,0.34136,0.7927,0.7043,0.8788,0.776,0.9646,0.6729,0.7469,0.6525,0.8248,0.7619,0.9459,0.6151
48,7.054459076632741e-05,0.28423,0.32435,0.7909,0.7027,0.8798,0.774,0.9648,0.6739,0.7825,0.6901,0.8286,0.8071,0.9529,0.6388
49,6.929180177215678e-05,0.28321,0.32565,0.7975,0.7096,0.881,0.7801,0.9651,0.6752,0.7573,0.6649,0.8412,0.7694,0.9501,0.6372
50,6.802461651252075e-05,0.28174,0.32597,0.7916,0.7038,0.8811,0.775,0.966,0.677,0.7595,0.6677,0.8267,0.7859,0.9524,0.64
51,6.674398060854931e-05,0.28013,0.32683,0.7923,0.7052,0.8824,0.7754,0.9663,0.6787,0.791,0.699,0.8289,0.8133,0.9528,0.6357
52,6.545084971874738e-05,0.27864,0.32628,0.8054,0.7186,0.8839,0.7882,0.9667,0.6807,0.7696,0.6759,0.84,0.7799,0.9507,0.6338
53,6.41461888258465e-05,0.27892,0.34048,0.8019,0.715,0.8838,0.7845,0.9664,0.6802,0.7525,0.6589,0.8123,0.7826,0.9481,0.6229
54,6.283097151669869e-05,0.27772,0.31856,0.8038,0.7175,0.8842,0.787,0.967,0.6814,0.7843,0.6934,0.847,0.7912,0.9523,0.6416
55,6.150617925574933e-05,,,0.6802,0.6087,0.763,0.811,0.9467,0.5529,0.1503,0.1503,0.1503,1.0,0.8769,0.0
56,6.017280065263169e-05,,,0.1497,0.1497,0.1497,1.0,0.8717,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
57,5.8831830724429384e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
58,5.748427015315722e-05,,,0.1498,0.1498,0.1498,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
