split,MAE,RMSE,Huber,NLL,LevelAcc,NonMonoRate,SpearmanR,ECE,UE_ErrorCorr,per_step_MAE,per_step_RMSE,per_step_ECE,per_step_UE_corr,n_sequences,conformal_coverage,conformal_widths
val,0.0241,0.0321,0.0005,-0.8654,0.8264,0.0002,0.8687,41.94124,0.1515,"[0.0201, 0.0244, 0.0278]","[0.0262, 0.0324, 0.0367]","[35.31901, 45.22268, 45.28203]","[0.1055, 0.1499, 0.199]",217,"[0.9032, 0.9032, 0.9032]","[0.0867, 0.0981, 0.1189]"
test,0.0162,0.0225,0.0003,-2.6324,0.9141,0.0002,0.8515,21.65845,0.1272,"[0.0132, 0.0156, 0.0199]","[0.0172, 0.0214, 0.0276]","[10.60742, 23.12638, 31.24155]","[0.2031, 0.1382, 0.0403]",229,"[0.9825, 0.9651, 0.9432]","[0.0867, 0.0981, 0.1189]"
